Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Jumlah peringkat produk (product.metafields.reviews.rating_count),Produk komplementer (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produk terkait (product.metafields.shopify--discovery--product_recommendation.related_products),Pengaturan produk terkait (product.metafields.shopify--discovery--product_recommendation.related_products_display),Dorongan produk pencarian (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
daun-bawang,,,,,,,,,100 gr,,,,,,,,,1000.0,,-5,deny,manual,1000.00,18000.00,true,false,,,,,"",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Bawang_Prei_30be8413-fd16-4d81-9c1b-334ca47532fd.jpg?v=1775149144,kg,,,
bawang-merah-ukuran-sedang-menengah,Bawang Merah Ukuran Sedang ( Menengah ),"<p>Bawang Merah Ukuran Sedang (Menengah) adalah pilihan praktis untuk kebutuhan dapur sehari-hari. Dengan ukuran yang konsisten dan sedang, bawang ini ideal untuk memasak berbagai hidangan rumahan dengan porsi yang tepat dan mudah digunakan. Setiap bawang telah diseleksi langsung dari petani terpercaya untuk memastikan kualitas terbaik dan kesegaran optimal.</p>
<p> </p>
<p> Ukuran sedang memberikan keseimbangan sempurna antara kemudahan pengolahan dan hasil masakan yang memuaskan.</p>
<p> </p>
<p>Cocok untuk ibu rumah tangga dan usaha kecil yang menginginkan bawang berkualitas dengan harga terjangkau. Jika Anda membutuhkan ukuran yang lebih besar dan premium, kami juga menyediakan pilihan <a href=""https://barangmudo.com/products/bawang-merah-jumbo?variant=52769283178863"" target=""_blank"" title=""Klik untuk melihat Bawang Merah Jumbo"" rel=""noopener"">Bawang Jumbo</a> yang lebih spesifik.</p>",Berkah Sayur Cabang Utama,,Bawang-bawangan,"",true,Satuan,1 Kg,,,,,,,,BM3001,1000.0,,0,deny,manual,26000.00,30000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Bawang_Merah_8aede22a-ff6b-4a73-b412-3fd4efc5ae5e.jpg?v=1775149134,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg_6603693f-88a8-4b28-a011-2007a95c7724.jpg?v=1775149135,kg,,,active
bawang-merah-ukuran-sedang-menengah,,,,,,,,,500 gr (5 ons),,,,,,,,BM3002,500.0,,0,deny,manual,14000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg_6603693f-88a8-4b28-a011-2007a95c7724.jpg?v=1775149135,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg_6603693f-88a8-4b28-a011-2007a95c7724.jpg?v=1775149135,g,,,
bawang-merah-ukuran-sedang-menengah,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM3003,250.0,,0,deny,manual,7000.00,0.00,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg_6603693f-88a8-4b28-a011-2007a95c7724.jpg?v=1775149135,g,,,
bawang-merah-ukuran-sedang-menengah,,,,,,,,,100 gr (1 ons),,,,,,,,BM3004,100.0,,0,deny,manual,3000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg_6603693f-88a8-4b28-a011-2007a95c7724.jpg?v=1775149135,g,,,
wortel,Wortel,"<p>Wortel segar pilihan langsung dari petani lokal terpercaya. Dipetik pada puncak kesegaran dengan warna oranye cerah dan tekstur renyah yang sempurna.</p>
<p>Wortel kami ideal untuk berbagai kebutuhan — dari salad, sup, tumisan, hingga jus kesehatan. Memberikan rasa manis alami dan tekstur yang memuaskan di setiap sajian. Kaya akan beta-karoten dan nutrisi penting, mudah disimpan di lemari es untuk daya tahan optimal.</p>
<p>Harga terjangkau dengan kualitas terbaik, cocok untuk kebutuhan dapur sehari-hari maupun usaha kuliner skala kecil.</p>",Berkah Sayur Cabang Utama,,Sayur,"",true,Satuan,1 Kg,,,,,,,,BM13001,1000.0,,0,deny,manual,14000.00,22000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Wortel.jpg?v=1775146742,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Wortel.jpg?v=1775146742,kg,,,active
wortel,,,,,,,,,500 gr (5 ons),,,,,,,,BM13002,500.0,,0,deny,manual,8000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/23971_jpg.jpg?v=1775146741,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Wortel.jpg?v=1775146742,g,,,
wortel,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM13003,250.0,,0,deny,manual,5000.00,0.00,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Wortel.jpg?v=1775146742,g,,,
bawang-putih-copy,Bawang Bombay,"<p>Bawang Bombay premium pilihan langsung dari petani lokal terpercaya. </p>
<p>Setiap butir dipilih dengan cermat untuk memastikan kesegaran dan kualitas terbaik. Bawang Bombay kami memiliki ukuran besar, daging tebal, dan rasa manis yang khas. Sempurna untuk berbagai hidangan — dari tumisan, sup, hingga masakan berkuah lainnya. Teksturnya yang lembut saat dimasak memberikan cita rasa yang lezat dan merata di setiap gigitan.</p>
<p>Harga terjangkau dengan kualitas premium, cocok untuk kebutuhan dapur sehari-hari maupun usaha kuliner skala kecil. Tersimpan dengan baik untuk daya tahan lebih lama.</p>",Berkah Sayur Cabang Utama,,Bawang-bawangan,"",true,Satuan,1 Kg,,,,,,,,BM9001,1000.0,,0,deny,manual,30000.00,34000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24080.jpg_1_1.jpg?v=1775146733,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24047.jpg_1_1.jpg?v=1775146733,kg,,,active
bawang-putih-copy,,,,,,,,,500 gr (5 ons),,,,,,,,BM9002,500.0,,0,deny,manual,16000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24047.jpg_1_1.jpg?v=1775146733,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24045.jpg_1.jpg?v=1775146733,g,,,
bawang-putih-copy,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM9003,250.0,,0,deny,manual,9000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24045.jpg_1.jpg?v=1775146733,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24080.jpg_1_1.jpg?v=1775146733,g,,,
bawang-putih-copy,,,,,,,,,100 gr (1 ons),,,,,,,,BM9004,100.0,,0,deny,manual,4000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24080.jpg_1_1.jpg?v=1775146733,g,,,
bawang-putih,Bawang Putih,"<p>Bawang Putih Segar pilihan terbaik untuk kebutuhan dapur Anda. Dipilih langsung dari petani terpercaya, setiap siung dijamin berkualitas tinggi dan kesegaran optimal.</p>
<p>Cocok untuk berbagai masakan rumahan, dari tumisan hingga sambal, dengan aroma dan rasa yang kuat dan autentik.</p>
<p> Ukuran standar memudahkan penggunaan sehari-hari dengan harga yang terjangkau. Ideal untuk ibu rumah tangga dan usaha kecil yang menginginkan bawang putih berkualitas premium tanpa harus mengeluarkan biaya berlebihan.</p>",Berkah Sayur Cabang Utama,,Bawang-bawangan,"",true,Satuan,1 Kg,,,,,,,,BM8001,1000.0,,0,deny,manual,30000.00,34000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Bawang_Putih.jpg?v=1775146723,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24098_jpg.jpg?v=1775146723,kg,,,active
bawang-putih,,,,,,,,,500 gr (5 ons),,,,,,,,BM8002,500.0,,0,deny,manual,16000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24098_jpg.jpg?v=1775146723,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24118_jpg.jpg?v=1775146723,g,,,
bawang-putih,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM8003,250.0,,0,deny,manual,9000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24118_jpg.jpg?v=1775146723,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24117_jpg.jpg?v=1775146723,g,,,
bawang-putih,,,,,,,,,100 gr (1 ons),,,,,,,,BM8004,100.0,,0,deny,manual,4000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24117_jpg.jpg?v=1775146723,4,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24117_jpg.jpg?v=1775146723,g,,,
kentang-kecil,Kentang Kecil,"<p>Kentang Kecil pilihan dari ladang terbaik Sumatra Barat Indonesia, dipilih dengan teliti untuk memastikan ukuran kecil dan kualitas premium.</p>
<p>Setiap umbi telah disortir untuk konsistensi dan kesegaran maksimal.</p>
<p>Cocok untuk kebutuhan dapur rumah tangga maupun usaha kuliner yang menuntut bahan berkualitas tinggi.</p>
<p>Tekstur padat dan rasa alami menjadikannya pilihan ideal untuk berbagai masakan tradisional dan modern.</p>",Berkah Sayur Cabang Utama,,Kentang,"Bahan Dapur, Rempah-Rempah, Sayuran",true,Variant,1 Kg,,,,,,,,BM7001,1000.0,,0,deny,manual,8000.00,12000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_114150.jpg?v=1775146710,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113937.jpg?v=1775146711,kg,,,active
kentang-kecil,,,,,,,,,500 gr (5 ons),,,,,,,,BM7002,500.0,,0,deny,manual,5000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113937.jpg?v=1775146711,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_114044.jpg?v=1775146711,g,,,
kentang-kecil,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM7003,250.0,,0,deny,manual,3000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_114044.jpg?v=1775146711,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_114047.jpg?v=1775146711,g,,,
kentang-kecil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_114047.jpg?v=1775146711,4,"",,,,,,,,,,,,,
kentang-besar,Kentang Besar,"<p>Kentang Besar pilihan dari ladang terbaik Sumatra Barat Indonesia, dipilih dengan teliti untuk memastikan ukuran besar dan kualitas premium. <br><br>Setiap umbi telah disortir untuk konsistensi dan kesegaran maksimal. <br><br>Cocok untuk kebutuhan dapur rumah tangga maupun usaha kuliner yang menuntut bahan berkualitas tinggi.<br><br>Tekstur padat dan rasa alami menjadikannya pilihan ideal untuk berbagai masakan tradisional dan modern.</p>",Berkah Sayur Cabang Utama,,Kentang,"Bahan Dapur, Rempah-Rempah, Sayuran",true,Variant,1 Kg,,,,,,,,BM6001,1000.0,,0,deny,manual,11000.00,12000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113622.jpg?v=1775146699,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113622.jpg?v=1775146699,kg,,,active
kentang-besar,,,,,,,,,500 gr (5 ons),,,,,,,,BM6002,500.0,,0,deny,manual,6000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113652.jpg?v=1775146700,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113622.jpg?v=1775146699,g,,,
kentang-besar,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM6003,250.0,,0,deny,manual,4000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_113622.jpg?v=1775146699,g,,,
tomat,Tomat Merah,"<p>Tomat merah segar pilihan dengan rasa manis dan asam yang seimbang. Dipetik pada tingkat kematangan optimal untuk memastikan tekstur yang sempurna dan nutrisi maksimal.</p>
<p> Cocok untuk berbagai kebutuhan dapur — dari salad segar, sambal, hingga masakan tradisional Indonesia.</p>
<p>Setiap buah dipilih dengan teliti untuk menjamin kualitas terbaik.</p>
<p>Kaya akan vitamin C dan likopen yang baik untuk kesehatan.</p>
<p>Tersedia dalam jumlah satuan atau paket untuk kebutuhan keluarga Anda.</p>
<p>Pesan sekarang dan nikmati kesegaran langsung dari kebun ke meja makan Anda dengan layanan pengiriman lokal dari toko kami.</p>",Berkah Sayur Cabang Utama,,Tomat,"",true,Satuan,1 Kg,,,,,,,,BM5001,1000.0,,0,continue,manual,8000.00,12000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Tomat.jpg?v=1775146692,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_100546.jpg?v=1775146692,kg,,,active
tomat,,,,,,,,,500 gr (5 ons),,,,,,,,BM5002,500.0,,0,deny,manual,5000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_100546.jpg?v=1775146692,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_100303.jpg?v=1775146692,g,,,
tomat,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM5003,250.0,,0,deny,manual,3000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_100303.jpg?v=1775146692,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_101406.jpg?v=1775146692,g,,,
tomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/IMG_20260312_101406.jpg?v=1775146692,4,"",,,,,,,,,,,,,
cabe-merah-jawa-lado-jawa,Cabe Merah Jawa ( Lado Jawa ),"<p>Cabe Merah Jawa (Lado Jawa) segar pilihan berkualitas dari supplier terpercaya di Pasar Raya Padang.</p>
<p>Cabai ini memiliki rasa yang lebih pedas yang khas dan aroma yang kuat, sempurna untuk berbagai masakan tradisional Indonesia seperti sambal, rendang, dan masakan berkuah lainnya. <br><br>Setiap cabai telah diseleksi dengan teliti untuk memastikan kesegaran maksimal dan kualitas terbaik. <br><br>Konsistensi rasa dan tekstur terjaga dengan baik untuk hasil masakan yang memuaskan. Ideal untuk kebutuhan dapur sehari-hari, baik untuk keluarga maupun usaha kecil menengah. <br><br>Harga terjangkau dengan kualitas premium menjadikan Cabe Merah Jawa pilihan tepat untuk menghadirkan cita rasa autentik dalam setiap hidangan Anda.</p>",Berkah Sayur Cabang Utama,,Cabai,"",true,Satuan,1 Kg,,,,,,,,BM4001,1000.0,shopify,148,continue,manual,45000.00,48000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-1-kg.png?v=1775146680,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-1-kg.png?v=1775146680,kg,,,active
cabe-merah-jawa-lado-jawa,,,,,,,,,500 gr (5 ons),,,,,,,,BM4002,500.0,,0,deny,manual,23000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-500-gram.png?v=1775146681,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-500-gram.png?v=1775146681,g,,,
cabe-merah-jawa-lado-jawa,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM4003,250.0,,0,deny,manual,12000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-250-gram.png?v=1775146681,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-250-gram.png?v=1775146681,g,,,
cabe-merah-jawa-lado-jawa,,,,,,,,,100 gr (1 ons),,,,,,,,BM4004,100.0,,0,deny,manual,5000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa.png?v=1775146681,4,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/cabe-merah-jawa-in-250-gram.png?v=1775146681,g,,,
bawang-merah-kecil-ampera,Bawang Merah Kecil  ( Ampera ),"<p>Bawang Merah Kecil Ampera adalah pilihan hemat untuk kebutuhan dapur sehari-hari. Bawang ini tidak disortir berdasarkan ukuran spesifik, sehingga Anda mendapatkan campuran bawang kecil dan sedang dengan harga yang lebih terjangkau dibanding bawang jumbo. </p>
<p>Cocok untuk ibu rumah tangga dan usaha kecil yang mengutamakan efisiensi biaya bahan baku masakan. Meskipun ukurannya bervariasi, setiap bawang telah diseleksi dengan baik langsung dari petani untuk memastikan kualitas dan kelayakan konsumsi. </p>
<p>Jika Anda membutuhkan bawang dengan ukuran yang lebih seragam dan konsisten untuk keperluan premium, kami juga menyediakan pilihan <a href=""https://barangmudo.com/products/bawang-merah-jumbo?variant=52769283178863"" target=""_blank"" title=""Lihat Bawang Jumbo"" rel=""noopener"">Bawang Jumbo</a> yang lebih spesifik.</p>",Berkah Sayur Cabang Utama,,Bawang-bawangan,"",true,Satuan,1 Kg,,,,,,,,BM2001,1000.0,,0,deny,manual,22000.00,25000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/Bawang_Merah_751a18f6-f8ca-4bc5-849f-2e3fa8369d4a.jpg?v=1775146672,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg.jpg?v=1775146672,kg,,,active
bawang-merah-kecil-ampera,,,,,,,,,500 gr (5 ons),,,,,,,,BM2002,500.0,,0,deny,manual,12000.00,0.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg.jpg?v=1775146672,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg.jpg?v=1775146672,g,,,
bawang-merah-kecil-ampera,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM2003,250.0,,0,deny,manual,6000.00,0.00,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg.jpg?v=1775146672,g,,,
bawang-merah-kecil-ampera,,,,,,,,,100 gr (1 ons),,,,,,,,BM2004,100.0,,0,deny,manual,3000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24053_jpg.jpg?v=1775146672,g,,,
bawang-merah-jumbo,Bawang Merah Jumbo,<p>Bawang Merah Jumbo merupakan bawang berukuran besar pilihan dari ladang terbaik Indonesia khususnya ladang lokal sumatra barat. Dipilih dengan teliti untuk memastikan ukuran besar dan kualitas premium.Setiap umbi telah disortir untuk konsistensi dan kesegaran maksimal. <br><br>Cocok untuk kebutuhan dapur rumah tangga maupun usaha kuliner yang menuntut bahan berkualitas tinggi.</p>,Berkah Sayur Cabang Utama,,Bawang-bawangan,"Bahan Dapur, Rempah-Rempah, Sayuran",true,Variant,1 Kg,,,,,,,,BM1001,1000.0,,-7,deny,manual,35000.00,38000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24054_jpg.jpg?v=1775146662,1,"",false,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24054_jpg.jpg?v=1775146662,kg,,,active
bawang-merah-jumbo,,,,,,,,,500 gr (5 ons),,,,,,,,BM1002,500.0,,-3,deny,manual,18000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24057_jpg_8cd841fd-c90c-42cb-a6f5-75de702588e7.jpg?v=1775146662,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24054_jpg.jpg?v=1775146662,g,,,
bawang-merah-jumbo,,,,,,,,,250 gr (2.5 ons),,,,,,,,BM1003,250.0,,-6,deny,manual,9000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24054_jpg.jpg?v=1775146662,g,,,
bawang-merah-jumbo,,,,,,,,,100 gr (1 ons),,,,,,,,BM1004,100.0,,-7,deny,manual,4000.00,,true,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0991/9522/4381/files/24054_jpg.jpg?v=1775146662,g,,,
